;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 09/12/2024 15:52:10
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0196	0x0008      	RETURN
; end of _Lcd_Cmd
_RES032:
;__Lib_MathDouble.c,123 :: 		
;__Lib_MathDouble.c,128 :: 		
0x0197	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,129 :: 		
0x0198	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,130 :: 		
0x0199	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,131 :: 		
0x019A	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,132 :: 		
0x019B	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,133 :: 		
0x019C	0x3000      	MOVLW      0
;__Lib_MathDouble.c,135 :: 		
L_end_RES032:
0x019D	0x0008      	RETURN
; end of _RES032
_FIXSIGN32:
;__Lib_MathDouble.c,112 :: 		
;__Lib_MathDouble.c,116 :: 		
0x019E	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,117 :: 		
0x019F	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,118 :: 		
0x01A0	0x3000      	MOVLW      0
;__Lib_MathDouble.c,120 :: 		
L_end_FIXSIGN32:
0x01A1	0x0008      	RETURN
; end of _FIXSIGN32
_Div_16X16_U:
;__Lib_Math.c,215 :: 		
;__Lib_Math.c,222 :: 		
0x01A2	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,223 :: 		
0x01A3	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,224 :: 		
0x01A4	0x01F8      	CLRF       R8
;__Lib_Math.c,225 :: 		
0x01A5	0x01F9      	CLRF       R9
;__Lib_Math.c,226 :: 		
0x01A6	0x3010      	MOVLW      16
;__Lib_Math.c,227 :: 		
0x01A7	0x00FC      	MOVWF      R12
;__Lib_Math.c,228 :: 		
0x01A8	0x0D71      	RLF        R1, 0
;__Lib_Math.c,229 :: 		
0x01A9	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,230 :: 		
0x01AA	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,231 :: 		
0x01AB	0x0874      	MOVF       R4, 0
;__Lib_Math.c,232 :: 		
0x01AC	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,233 :: 		
0x01AD	0x0875      	MOVF       R5, 0
;__Lib_Math.c,234 :: 		
0x01AE	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,235 :: 		
0x01AF	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,236 :: 		
0x01B0	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,237 :: 		
0x01B1	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,238 :: 		
0x01B2	0x29BA      	GOTO       $+8
;__Lib_Math.c,239 :: 		
0x01B3	0x0874      	MOVF       R4, 0
;__Lib_Math.c,240 :: 		
0x01B4	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,241 :: 		
0x01B5	0x0875      	MOVF       R5, 0
;__Lib_Math.c,242 :: 		
0x01B6	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,243 :: 		
0x01B7	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,244 :: 		
0x01B8	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,245 :: 		
0x01B9	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,246 :: 		
0x01BA	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,247 :: 		
0x01BB	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,248 :: 		
0x01BC	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,249 :: 		
0x01BD	0x29A8      	GOTO       $-21
;__Lib_Math.c,251 :: 		
L_end_Div_16X16_U:
0x01BE	0x0008      	RETURN
; end of _Div_16X16_U
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x01BF	0x1283      	BCF        STATUS, 5
0x01C0	0x1303      	BCF        STATUS, 6
0x01C1	0x0844      	MOVF       ___DoICPAddr+1, 0
0x01C2	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x01C3	0x0843      	MOVF       ___DoICPAddr, 0
0x01C4	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x01C5	0x0008      	RETURN
; end of _____DoICP
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x01C6	0x1283      	BCF        STATUS, 5
0x01C7	0x1303      	BCF        STATUS, 6
0x01C8	0x1045      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x01C9	0x085E      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x01CA	0x00E3      	MOVWF      FARG_Lcd_Cmd_out_char
0x01CB	0x2157      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x01CC	0x1445      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x01CD	0x0008      	RETURN
; end of _Lcd_Chr_CP
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x01CE	0x300E      	MOVLW      14
0x01CF	0x1283      	BCF        STATUS, 5
0x01D0	0x1303      	BCF        STATUS, 6
0x01D1	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x01D2	0x0BFD      	DECFSZ     R13, 1
0x01D3	0x29D2      	GOTO       L_Delay_22us1
0x01D4	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x01D5	0x0008      	RETURN
; end of _Delay_22us
_NRM3232:
;__Lib_MathDouble.c,167 :: 		
;__Lib_MathDouble.c,173 :: 		
;__Lib_MathDouble.c,175 :: 		
0x01D6	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,176 :: 		
0x01D7	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,177 :: 		
0x01D8	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,178 :: 		
0x01D9	0x29EB      	GOTO       NORM3232
;__Lib_MathDouble.c,179 :: 		
0x01DA	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,180 :: 		
0x01DB	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,181 :: 		
0x01DC	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,182 :: 		
0x01DD	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,183 :: 		
0x01DE	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,184 :: 		
0x01DF	0x15A0      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,186 :: 		
0x01E0	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,187 :: 		
0x01E1	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,188 :: 		
0x01E2	0x29EB      	GOTO       NORM3232
;__Lib_MathDouble.c,189 :: 		
0x01E3	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,190 :: 		
0x01E4	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,191 :: 		
0x01E5	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,192 :: 		
0x01E6	0x11A0      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,193 :: 		
0x01E7	0x1620      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,195 :: 		
0x01E8	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,196 :: 		
0x01E9	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,197 :: 		
0x01EA	0x29F9      	GOTO       JPNRES032
;__Lib_MathDouble.c,198 :: 		
NORM3232:
;__Lib_MathDouble.c,199 :: 		
0x01EB	0x0820      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,200 :: 		
0x01EC	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,201 :: 		
0x01ED	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,202 :: 		
0x01EE	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,203 :: 		
0x01EF	0x29FD      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,204 :: 		
0x01F0	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,205 :: 		
NORM3232A:
;__Lib_MathDouble.c,206 :: 		
0x01F1	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,207 :: 		
0x01F2	0x2A01      	GOTO       JMPNFIXSIGN32
;__Lib_MathDouble.c,208 :: 		
0x01F3	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,209 :: 		
0x01F4	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,210 :: 		
0x01F5	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,211 :: 		
0x01F6	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,212 :: 		
0x01F7	0x29F1      	GOTO       NORM3232A
;__Lib_MathDouble.c,213 :: 		
0x01F8	0x29FD      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,214 :: 		
JPNRES032:
;__Lib_MathDouble.c,215 :: 		
0x01F9	0x3001      	MOVLW      1
;__Lib_MathDouble.c,216 :: 		
0x01FA	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,218 :: 		
0x01FB	0x2197      	CALL       _RES032
;__Lib_MathDouble.c,220 :: 		
0x01FC	0x2A04      	GOTO       NORM32EEE
;__Lib_MathDouble.c,221 :: 		
JPNSETFUN32:
;__Lib_MathDouble.c,222 :: 		
0x01FD	0x3002      	MOVLW      2
;__Lib_MathDouble.c,223 :: 		
0x01FE	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,225 :: 		
0x01FF	0x214B      	CALL       _SETFUN32
;__Lib_MathDouble.c,227 :: 		
0x0200	0x2A04      	GOTO       NORM32EEE
;__Lib_MathDouble.c,228 :: 		
JMPNFIXSIGN32:
;__Lib_MathDouble.c,229 :: 		
0x0201	0x3004      	MOVLW      4
;__Lib_MathDouble.c,230 :: 		
0x0202	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,232 :: 		
0x0203	0x219E      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,234 :: 		
NORM32EEE:
;__Lib_MathDouble.c,236 :: 		
L_end_NRM3232:
0x0204	0x0008      	RETURN
; end of _NRM3232
_SETFOV32:
;__Lib_MathDouble.c,79 :: 		
;__Lib_MathDouble.c,86 :: 		
0x0205	0x14FB      	BSF        R11, 1
;__Lib_MathDouble.c,87 :: 		
0x0206	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,88 :: 		
0x0207	0x2A0F      	GOTO       SETFOV32EEE
;__Lib_MathDouble.c,89 :: 		
0x0208	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,90 :: 		
0x0209	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,91 :: 		
0x020A	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,92 :: 		
0x020B	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,93 :: 		
0x020C	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,94 :: 		
0x020D	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,95 :: 		
0x020E	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,96 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,97 :: 		
0x020F	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,99 :: 		
L_end_SETFOV32:
0x0210	0x0008      	RETURN
; end of _SETFOV32
_WordToStr:
;__Lib_Conversions.c,84 :: 		
;__Lib_Conversions.c,89 :: 		
0x0211	0x1283      	BCF        STATUS, 5
0x0212	0x1303      	BCF        STATUS, 6
0x0213	0x01E1      	CLRF       WordToStr_len_L0
L_WordToStr6:
0x0214	0x3005      	MOVLW      5
0x0215	0x0261      	SUBWF      WordToStr_len_L0, 0
0x0216	0x1803      	BTFSC      STATUS, 0
0x0217	0x2A1F      	GOTO       L_WordToStr7
;__Lib_Conversions.c,90 :: 		
0x0218	0x0861      	MOVF       WordToStr_len_L0, 0
0x0219	0x0760      	ADDWF      FARG_WordToStr_output, 0
0x021A	0x0084      	MOVWF      FSR
0x021B	0x3020      	MOVLW      32
0x021C	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,89 :: 		
0x021D	0x0AE1      	INCF       WordToStr_len_L0, 1
;__Lib_Conversions.c,90 :: 		
0x021E	0x2A14      	GOTO       L_WordToStr6
L_WordToStr7:
;__Lib_Conversions.c,91 :: 		
0x021F	0x0861      	MOVF       WordToStr_len_L0, 0
0x0220	0x0760      	ADDWF      FARG_WordToStr_output, 0
0x0221	0x0084      	MOVWF      FSR
0x0222	0x0180      	CLRF       INDF
0x0223	0x03E1      	DECF       WordToStr_len_L0, 1
;__Lib_Conversions.c,93 :: 		
L_WordToStr9:
;__Lib_Conversions.c,94 :: 		
0x0224	0x0861      	MOVF       WordToStr_len_L0, 0
0x0225	0x0760      	ADDWF      FARG_WordToStr_output, 0
0x0226	0x00E2      	MOVWF      FLOC__WordToStr
0x0227	0x300A      	MOVLW      10
0x0228	0x00F4      	MOVWF      R4
0x0229	0x01F5      	CLRF       R4+1
0x022A	0x085E      	MOVF       FARG_WordToStr_input, 0
0x022B	0x00F0      	MOVWF      R0
0x022C	0x085F      	MOVF       FARG_WordToStr_input+1, 0
0x022D	0x00F1      	MOVWF      R0+1
0x022E	0x21A2      	CALL       _Div_16X16_U
0x022F	0x0878      	MOVF       R8, 0
0x0230	0x00F0      	MOVWF      R0
0x0231	0x0879      	MOVF       R8+1, 0
0x0232	0x00F1      	MOVWF      R0+1
0x0233	0x3030      	MOVLW      48
0x0234	0x07F0      	ADDWF      R0, 1
0x0235	0x0862      	MOVF       FLOC__WordToStr, 0
0x0236	0x0084      	MOVWF      FSR
0x0237	0x0870      	MOVF       R0, 0
0x0238	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,95 :: 		
0x0239	0x300A      	MOVLW      10
0x023A	0x00F4      	MOVWF      R4
0x023B	0x01F5      	CLRF       R4+1
0x023C	0x085E      	MOVF       FARG_WordToStr_input, 0
0x023D	0x00F0      	MOVWF      R0
0x023E	0x085F      	MOVF       FARG_WordToStr_input+1, 0
0x023F	0x00F1      	MOVWF      R0+1
0x0240	0x21A2      	CALL       _Div_16X16_U
0x0241	0x0870      	MOVF       R0, 0
0x0242	0x00DE      	MOVWF      FARG_WordToStr_input
0x0243	0x0871      	MOVF       R0+1, 0
0x0244	0x00DF      	MOVWF      FARG_WordToStr_input+1
;__Lib_Conversions.c,96 :: 		
0x0245	0x3000      	MOVLW      0
0x0246	0x0671      	XORWF      R0+1, 0
0x0247	0x1D03      	BTFSS      STATUS, 2
0x0248	0x2A4B      	GOTO       L__WordToStr109
0x0249	0x3000      	MOVLW      0
0x024A	0x0670      	XORWF      R0, 0
L__WordToStr109:
0x024B	0x1D03      	BTFSS      STATUS, 2
0x024C	0x2A4E      	GOTO       L_WordToStr11
;__Lib_Conversions.c,97 :: 		
0x024D	0x2A50      	GOTO       L_WordToStr10
L_WordToStr11:
;__Lib_Conversions.c,98 :: 		
0x024E	0x03E1      	DECF       WordToStr_len_L0, 1
;__Lib_Conversions.c,99 :: 		
0x024F	0x2A24      	GOTO       L_WordToStr9
L_WordToStr10:
;__Lib_Conversions.c,100 :: 		
L_end_WordToStr:
0x0250	0x0008      	RETURN
; end of _WordToStr
_ADC_Read:
;__Lib_ADC_A_C.c,45 :: 		
;__Lib_ADC_A_C.c,47 :: 		
0x0251	0x1283      	BCF        STATUS, 5
0x0252	0x1303      	BCF        STATUS, 6
0x0253	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,48 :: 		
0x0254	0x30C0      	MOVLW      192
0x0255	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,49 :: 		
0x0256	0x1683      	BSF        STATUS, 5
0x0257	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,50 :: 		
0x0258	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,51 :: 		
0x0259	0x1283      	BCF        STATUS, 5
0x025A	0x0855      	MOVF       FARG_ADC_Read_channel, 0
0x025B	0x00F0      	MOVWF      R0
0x025C	0x0DF0      	RLF        R0, 1
0x025D	0x1070      	BCF        R0, 0
0x025E	0x0DF0      	RLF        R0, 1
0x025F	0x1070      	BCF        R0, 0
0x0260	0x0DF0      	RLF        R0, 1
0x0261	0x1070      	BCF        R0, 0
0x0262	0x0870      	MOVF       R0, 0
0x0263	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,54 :: 		
0x0264	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,57 :: 		
0x0265	0x21CE      	CALL       _Delay_22us
;__Lib_ADC_A_C.c,60 :: 		
0x0266	0x151F      	BSF        ADCON0, 2
;__Lib_ADC_A_C.c,63 :: 		
L_ADC_Read2:
0x0267	0x1D1F      	BTFSS      ADCON0, 2
0x0268	0x2A6B      	GOTO       L_ADC_Read3
;__Lib_ADC_A_C.c,64 :: 		
0x0269	0x0000      	NOP
0x026A	0x2A67      	GOTO       L_ADC_Read2
L_ADC_Read3:
;__Lib_ADC_A_C.c,67 :: 		
0x026B	0x101F      	BCF        ADCON0, 0
;__Lib_ADC_A_C.c,70 :: 		
0x026C	0x081E      	MOVF       ADRESH, 0
0x026D	0x00F1      	MOVWF      R0+1
0x026E	0x01F0      	CLRF       R0
0x026F	0x1683      	BSF        STATUS, 5
0x0270	0x081E      	MOVF       ADRESL, 0
0x0271	0x04F0      	IORWF      R0, 1
0x0272	0x3000      	MOVLW      0
0x0273	0x04F1      	IORWF      R0+1, 1
;__Lib_ADC_A_C.c,71 :: 		
L_end_ADC_Read:
0x0274	0x0008      	RETURN
; end of _ADC_Read
_Mul_32x32_FP:
;__Lib_MathDouble.c,610 :: 		
;__Lib_MathDouble.c,622 :: 		
;__Lib_MathDouble.c,624 :: 		
0x0275	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,625 :: 		
0x0276	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,627 :: 		
0x0277	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,628 :: 		
0x0278	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,629 :: 		
0x0279	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,630 :: 		
0x027A	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,631 :: 		
0x027B	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,632 :: 		
0x027C	0x2ACC      	GOTO       JPMRES032
;__Lib_MathDouble.c,634 :: 		
0x027D	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,635 :: 		
0x027E	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,636 :: 		
0x027F	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,637 :: 		
0x0280	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,638 :: 		
0x0281	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,639 :: 		
0x0282	0x307E      	MOVLW      126
;__Lib_MathDouble.c,640 :: 		
0x0283	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,641 :: 		
0x0284	0x2A89      	GOTO       MTUN32
;__Lib_MathDouble.c,642 :: 		
0x0285	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,643 :: 		
0x0286	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,644 :: 		
0x0287	0x2ACF      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,645 :: 		
0x0288	0x2A8C      	GOTO       MOK32
;__Lib_MathDouble.c,646 :: 		
MTUN32:
;__Lib_MathDouble.c,647 :: 		
0x0289	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,648 :: 		
0x028A	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,649 :: 		
0x028B	0x2AD2      	GOTO       JPMSETFUN32
;__Lib_MathDouble.c,650 :: 		
MOK32:
;__Lib_MathDouble.c,651 :: 		
0x028C	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,652 :: 		
0x028D	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,653 :: 		
0x028E	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,654 :: 		
0x028F	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,655 :: 		
0x0290	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,656 :: 		
0x0291	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,657 :: 		
0x0292	0x17F8      	BSF        R8, 7
;__Lib_MathDouble.c,658 :: 		
0x0293	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,659 :: 		
0x0294	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,660 :: 		
0x0295	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,661 :: 		
0x0296	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,662 :: 		
0x0297	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,663 :: 		
0x0298	0x3018      	MOVLW      24
;__Lib_MathDouble.c,664 :: 		
0x0299	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,665 :: 		
MLOOP32:
;__Lib_MathDouble.c,666 :: 		
0x029A	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,667 :: 		
0x029B	0x2AA6      	GOTO       MNOADD32
;__Lib_MathDouble.c,669 :: 		
0x029C	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,670 :: 		
0x029D	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,671 :: 		
0x029E	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,672 :: 		
0x029F	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,673 :: 		
0x02A0	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,674 :: 		
0x02A1	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,675 :: 		
0x02A2	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,676 :: 		
0x02A3	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,677 :: 		
0x02A4	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,678 :: 		
0x02A5	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,679 :: 		
MNOADD32:
;__Lib_MathDouble.c,680 :: 		
0x02A6	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,681 :: 		
0x02A7	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,682 :: 		
0x02A8	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,683 :: 		
0x02A9	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,684 :: 		
0x02AA	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,685 :: 		
0x02AB	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,686 :: 		
0x02AC	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,687 :: 		
0x02AD	0x0BA0      	DECFSZ     __math_tempbD, 1
;__Lib_MathDouble.c,688 :: 		
0x02AE	0x2A9A      	GOTO       MLOOP32
;__Lib_MathDouble.c,689 :: 		
0x02AF	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,690 :: 		
0x02B0	0x2AB6      	GOTO       MROUND32
;__Lib_MathDouble.c,691 :: 		
0x02B1	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,692 :: 		
0x02B2	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,693 :: 		
0x02B3	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,694 :: 		
0x02B4	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,695 :: 		
0x02B5	0x03F3      	DECF       R3, 1
;__Lib_MathDouble.c,696 :: 		
MROUND32:
;__Lib_MathDouble.c,697 :: 		
0x02B6	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,698 :: 		
0x02B7	0x1C70      	BTFSS      R0, 0
;__Lib_MathDouble.c,699 :: 		
0x02B8	0x2AC8      	GOTO       MUL32OK
;__Lib_MathDouble.c,700 :: 		
0x02B9	0x1FF8      	BTFSS      R8, 7
;__Lib_MathDouble.c,701 :: 		
0x02BA	0x2AC8      	GOTO       MUL32OK
;__Lib_MathDouble.c,702 :: 		
0x02BB	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,703 :: 		
0x02BC	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,704 :: 		
0x02BD	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,705 :: 		
0x02BE	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,706 :: 		
0x02BF	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,707 :: 		
0x02C0	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,708 :: 		
0x02C1	0x2AC8      	GOTO       MUL32OK
;__Lib_MathDouble.c,709 :: 		
0x02C2	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,710 :: 		
0x02C3	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,711 :: 		
0x02C4	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,712 :: 		
0x02C5	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,713 :: 		
0x02C6	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,714 :: 		
0x02C7	0x2ACF      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,715 :: 		
MUL32OK:
;__Lib_MathDouble.c,716 :: 		
0x02C8	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,717 :: 		
0x02C9	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,718 :: 		
0x02CA	0x3000      	MOVLW      0
;__Lib_MathDouble.c,720 :: 		
0x02CB	0x2AD4      	GOTO       MUL32EEE
;__Lib_MathDouble.c,721 :: 		
JPMRES032:
;__Lib_MathDouble.c,722 :: 		
0x02CC	0x3001      	MOVLW      1
;__Lib_MathDouble.c,725 :: 		
0x02CD	0x2197      	CALL       _RES032
;__Lib_MathDouble.c,727 :: 		
0x02CE	0x2AD4      	GOTO       MUL32EEE
;__Lib_MathDouble.c,728 :: 		
JPMSETFOV32:
;__Lib_MathDouble.c,729 :: 		
0x02CF	0x3002      	MOVLW      2
;__Lib_MathDouble.c,732 :: 		
0x02D0	0x2205      	CALL       _SETFOV32
;__Lib_MathDouble.c,734 :: 		
0x02D1	0x2AD4      	GOTO       MUL32EEE
;__Lib_MathDouble.c,735 :: 		
JPMSETFUN32:
;__Lib_MathDouble.c,736 :: 		
0x02D2	0x3004      	MOVLW      4
;__Lib_MathDouble.c,739 :: 		
0x02D3	0x214B      	CALL       _SETFUN32
;__Lib_MathDouble.c,741 :: 		
MUL32EEE:
;__Lib_MathDouble.c,742 :: 		
0x02D4	0x0000      	NOP
;__Lib_MathDouble.c,749 :: 		
L_end_Mul_32x32_FP:
0x02D5	0x0008      	RETURN
; end of _Mul_32x32_FP
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x02D6	0x2AE8      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x02D7	0x3080      	MOVLW      128
0x02D8	0x1283      	BCF        STATUS, 5
0x02D9	0x1303      	BCF        STATUS, 6
